2023-01-04 15:39:05,275 [INFO    ] Requesting initial page...
2023-01-04 15:39:06,314 [INFO    ] Initial page opened.
2023-01-04 15:39:06,332 [INFO    ] Logging in...
2023-01-04 15:39:22,239 [INFO    ] Logged in.
2023-01-04 15:39:24,305 [INFO    ] Start download, d04_text_station_5min_2022_01_01.txt.gz
2023-01-04 15:39:31,583 [INFO    ] Download completed
2023-01-04 15:39:36,585 [INFO    ] Start download, d04_text_station_5min_2022_01_02.txt.gz
2023-01-04 15:39:41,315 [INFO    ] Download completed
2023-01-04 15:39:46,318 [INFO    ] Start download, d04_text_station_5min_2022_01_03.txt.gz
2023-01-04 15:39:49,643 [INFO    ] Download completed
2023-01-04 15:39:54,646 [INFO    ] Start download, d04_text_station_5min_2022_01_04.txt.gz
2023-01-04 15:40:04,680 [INFO    ] Download completed
2023-01-04 15:40:09,682 [INFO    ] Start download, d04_text_station_5min_2022_01_05.txt.gz
2023-01-04 15:40:13,633 [INFO    ] Download completed
2023-01-04 15:40:18,634 [INFO    ] Start download, d04_text_station_5min_2022_01_06.txt.gz
2023-01-04 15:40:25,517 [INFO    ] Download completed
2023-01-04 15:40:30,518 [INFO    ] Start download, d04_text_station_5min_2022_01_07.txt.gz
2023-01-04 15:40:37,056 [INFO    ] Download completed
2023-01-04 15:40:42,058 [INFO    ] Start download, d04_text_station_5min_2022_01_08.txt.gz
2023-01-04 15:40:48,543 [INFO    ] Download completed
2023-01-04 15:40:53,545 [INFO    ] Start download, d04_text_station_5min_2022_01_09.txt.gz
2023-01-04 15:40:57,821 [INFO    ] Download completed
2023-01-04 15:41:02,823 [INFO    ] Start download, d04_text_station_5min_2022_01_10.txt.gz
2023-01-04 15:41:07,734 [INFO    ] Download completed
2023-01-04 15:41:12,735 [INFO    ] Start download, d04_text_station_5min_2022_01_11.txt.gz
2023-01-04 15:41:16,549 [INFO    ] Download completed
2023-01-04 15:41:21,551 [INFO    ] Start download, d04_text_station_5min_2022_01_12.txt.gz
2023-01-04 15:41:26,448 [INFO    ] Download completed
2023-01-04 15:41:31,450 [INFO    ] Start download, d04_text_station_5min_2022_01_13.txt.gz
2023-01-04 15:41:37,847 [INFO    ] Download completed
2023-01-04 15:41:42,848 [INFO    ] Start download, d04_text_station_5min_2022_01_14.txt.gz
2023-01-04 15:41:47,799 [INFO    ] Download completed
2023-01-04 15:41:52,800 [INFO    ] Start download, d04_text_station_5min_2022_01_15.txt.gz
2023-01-04 15:41:57,932 [INFO    ] Download completed
2023-01-04 15:42:02,934 [INFO    ] Start download, d04_text_station_5min_2022_01_16.txt.gz
2023-01-04 15:42:07,191 [INFO    ] Download completed
